system:index,B4,EVI2,MSR,NDGI,RDVI,estimateLAI,.geo
0_6355,813.0,0.9479816802119347,0.7542778499735294,-0.0517464424320828,29.335120951974414,1.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6361,668.0,1.2096224614965245,1.0466125071666639,0.020527859237536656,36.179730228401155,1.009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6415,1030.0,0.7297351930462908,0.5498199081095893,-0.22400475341651813,24.394119360221442,0.696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6440,954.0,0.6976847531440251,0.5220255729992619,-0.04892798240791644,22.329109424392026,0.949,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6443,577.0,1.1969568219236284,1.0309562679236526,0.04470198675496689,33.156605684346985,1.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6479,935.0,0.8440949802124558,0.6533873833957342,-0.09037900874635568,27.435197468847996,0.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6491,1168.0,0.5019918715544646,0.36178267531736513,-0.09568480300187618,17.28413873207624,1.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6495,955.0,0.7518837459634015,0.5693397417802464,-0.008980454305335447,24.292896992119545,1.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6496,740.0,1.0869077026723557,0.9016351427695629,0.017916390179163903,33.1242780841311,1.158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6533,534.0,1.210021019144464,1.0471959446899695,0.025547445255474453,32.364803714537175,1.209,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6536,1042.0,0.46136499608817716,0.33029083452250674,-0.025086079685194294,14.928844860551298,0.829,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6537,865.0,0.9750155504872486,0.7817313136352628,-0.01406799531066823,31.30221364921182,1.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6575,1162.0,0.494335945430184,0.35580602697741986,-0.13643031784841075,16.960303955078032,0.658,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6621,720.0,1.088309891630159,0.903213656482693,0.02107409925220938,32.72731157728852,0.999,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6665,621.0,0.6414091644963751,0.47441956154897136,-0.0016129032258064516,16.42041829510751,0.764,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6674,763.0,1.0492598720987434,0.8601145696756934,-0.04807692307692308,32.176092226386295,1.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
