system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefAPAR,.geo
4_6466,999.0,1.242300402748164,2.9234234234234235,0.6268210683601046,45.86514477701461,0.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6467,944.0,1.236103675243284,2.6399286987522284,0.624502784407319,44.28248799513168,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6482,1178.0,0.9223086859267194,1.9139072847682117,0.4985100042571307,34.16885175083002,0.464,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6490,559.0,1.348798915149167,3.287692307692308,0.6658696951583981,38.51697912366585,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6491,702.0,1.145081483499024,2.2929782082324457,0.5897136177673875,34.496986544546,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6529,887.0,1.2609252809357958,3.121875,0.6337737407101569,44.1099238718475,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6586,371.0,1.5337986774430565,2.8998357963875203,0.7297887836853605,38.24260350061777,0.498,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6600,944.0,1.260500957440237,3.2174348697394786,0.6336114884533282,45.483420163836804,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6603,401.0,1.513990865468,3.718336483931947,0.7231618916120124,38.923311304758826,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6644,819.0,1.0408372794703096,2.4987531172069826,0.5481379310344827,33.00227369387626,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6647,852.0,1.3050900573992212,3.0657894736842106,0.6500308071472581,45.35799273139269,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6675,745.0,1.2979127134724857,2.7878128400435256,0.6474207288215806,42.0873272382061,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6682,884.0,1.2252823661092833,2.9559748427672954,0.6204379562043796,42.34460642668269,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6707,1018.0,1.1421041071820779,2.084772370486656,0.5885206143896524,41.397729757834156,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6719,676.0,1.3941789781471223,3.200940070505288,0.6819571865443425,44.46339937287801,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
