system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
8_2418,2868.0,4.158273381294964,0.9999061490600926,43.51039268572099,7.430051813471502,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2448,2416.0,4.368888888888889,0.9999280485076404,43.0485122826407,11.504761904761905,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2454,2352.0,4.273542600896861,0.9999201030345483,42.01105197618994,10.642533936651583,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2469,2872.0,3.943201376936317,0.9999018037678016,43.095401262885986,7.091358024691358,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2476,2584.0,4.338842975206612,0.9999122406212405,42.71251636898408,8.819112627986348,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2483,2546.0,3.934108527131783,0.9999021972151505,41.65809389047338,8.031545741324921,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2498,2630.0,4.536842105263158,0.9999002493044558,41.89312131418925,7.6231884057971016,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2502,2720.0,4.3861386138613865,0.9999186343656812,44.01092594025379,9.03654485049834,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2506,2578.0,4.176706827309237,0.9999112298591458,42.59298707368832,8.738983050847457,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2532,2712.0,4.819742489270387,0.9999186974516002,43.9746046999716,9.070234113712374,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2535,2644.0,4.2047244094488185,0.9998995864305508,41.89919136524916,7.532763532763533,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2542,2474.0,4.890476190476191,0.9999277883617385,43.399208289419555,11.194570135746606,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2577,2522.0,4.667415730337079,0.9999103881936288,42.22258102502354,8.849122807017544,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2615,2382.0,5.123393316195373,0.9999037749306201,40.930242434692616,8.725274725274724,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2629,2822.0,4.04830053667263,0.9998962845379709,42.35450958546985,6.832929782082324,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2658,2822.0,4.057347670250896,0.9999080869658026,43.49799170431501,7.7103825136612025,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2661,2620.0,4.107212475633529,0.9999079350114412,42.521095902272386,8.291139240506329,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2672,2318.0,4.751861042183623,0.9999225806259505,41.98225693159513,11.14423076923077,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2683,2662.0,4.080152671755725,0.9999178724157857,43.63146852578103,9.147766323024054,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2717,2964.0,4.246017699115044,0.999906211315013,43.921731334412605,7.194174757281553,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2733,2568.0,4.2731006160164275,0.9999232737775094,43.586244655255854,10.150197628458498,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2747,2590.0,4.717439293598234,0.9999099636545336,42.545817789080424,8.57615894039735,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2759,2452.0,5.271099744245524,0.9999264867921547,43.15191671524021,11.095022624434389,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2763,2512.0,4.322033898305085,0.9999112579439987,42.24122295702912,8.971428571428572,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2768,2608.0,3.7765567765567765,0.9999126722426077,42.87724542877469,8.781144781144782,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2769,2488.0,4.293617021276596,0.9999134144867902,42.28763213564999,9.283582089552239,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2800,2508.0,4.076923076923077,0.9998998470521411,41.27463036277153,7.961904761904762,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2820,2900.0,3.923599320882852,0.9999082087314423,43.856249992681455,7.512953367875648,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2832,3064.0,4.237606837606838,0.9998973220438707,43.35976026140687,6.356846473029045,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2834,2580.0,3.980694980694981,0.9998957448735847,41.27407622168588,7.435158501440922,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2845,2348.0,4.726829268292683,0.9999292619536869,42.69439361976209,12.04102564102564,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2857,2508.0,4.171134020618557,0.9999306867323278,43.86039682208825,11.504587155963304,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2930,2354.0,4.02991452991453,0.9999054420960961,40.901836690402035,8.98473282442748,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2937,2492.0,5.1683168316831685,0.9999140142449734,42.35982576344805,9.333333333333334,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2956,2778.0,3.848167539267016,0.99989323238438,41.89087181076363,6.742718446601942,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2974,2764.0,3.9891696750902526,0.9998950275107764,42.002666732461535,6.892768079800499,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2990,2712.0,4.175572519083969,0.9998925950251919,41.567643732493615,6.865822784810127,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
