system:index,B8,GNDVI,GVI,NLI,RDVI,estimatefAPAR,.geo
2_3155,2584.0,0.610470551573699,3.1344000000000003,0.9997846588122541,32.450735852085245,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3177,1622.0,0.657639243740419,3.8417910447761194,0.999848731491937,33.346474619922795,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3181,1786.0,0.6583101207056639,3.8532608695652177,0.9998564274574651,34.68574982171769,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3191,2110.0,0.6588050314465409,3.861751152073733,0.9998598512446737,36.53445372296777,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3198,2004.0,0.658254033926355,3.8523002421307506,0.9998471238493517,35.30058231917281,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3200,2386.0,0.6331279945242985,3.451492537313433,0.9998103112020368,34.12671894573762,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3209,2612.0,0.6636942675159235,3.9469696969696972,0.999798922211328,33.537520962505425,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3245,1864.0,0.6502877379371403,3.718987341772152,0.9998578312122652,35.19377905710365,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3246,1960.0,0.6477511559478772,3.677804295942721,0.9998573612773349,35.67105760893582,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3251,1654.0,0.647410358565737,3.6723163841807906,0.9998479489927352,33.510310707868946,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3254,2126.0,0.6021100226073851,3.0265151515151514,0.999815498685594,33.88979038373127,0.413,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3258,2084.0,0.6565977742448331,3.8240740740740744,0.9998742899743491,37.302561843228446,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3260,2474.0,0.5798212005108557,2.7598784194528876,0.9998091896112892,34.17771812099431,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3263,1820.0,0.6271792579347341,3.364508393285372,0.9998412153605725,34.114890181812676,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3320,1860.0,0.6301489921121823,3.407582938388626,0.9998427687498266,34.39195769684227,0.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3346,2652.0,0.6325023084025854,3.442211055276382,0.9997932847689972,33.11590575491828,0.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3357,2156.0,0.5578034682080925,2.522875816993464,0.9998098425005453,33.62724160532743,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3364,1646.0,0.6847492323439099,4.3441558441558445,0.9998730387438513,34.57009269774834,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3387,1890.0,0.6456247279059643,3.6437346437346436,0.999838203510312,34.297519903058415,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3406,1964.0,0.6764831412718737,4.1820580474934035,0.9998257998689352,33.94614660849177,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3414,1894.0,0.6194955109020949,3.2561797752808985,0.9998266224804859,33.71138674649683,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3416,2526.0,0.6499020248203788,3.7126865671641793,0.9998461096536104,37.04902287675041,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3450,1720.0,0.6634429400386848,3.942528735632184,0.9998587173905035,34.40316121079585,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3501,1884.0,0.6418300653594772,3.5839416058394162,0.9998518192566792,34.983800895625926,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
