system:index,B2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
1_1195,356.0,3.021505376344086,1.1356440737529503,33.494697145102016,4.560975609756097,1.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1202,276.0,3.486257928118393,1.5913683399736367,36.576394706325,6.715189873417722,1.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1206,272.0,3.1680672268907566,1.42636360755825,34.18660931981802,5.887240356083086,1.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1228,329.0,3.5888888888888886,1.2064381594936988,36.02700043896791,4.868369351669941,1.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1266,230.0,3.329571106094808,1.3892118644719085,33.32188209100675,5.708333333333333,1.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1275,225.0,3.9894179894179898,1.5115119565099242,33.950893329848284,6.3076923076923075,1.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1279,445.0,3.109467455621302,1.113347567751738,36.9750949567249,4.466237942122186,1.478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1285,438.0,3.0676923076923073,1.1424933553637402,36.44371138315748,4.590277777777778,1.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1294,268.0,3.3536345776031435,1.3655780680331808,35.61105184886487,5.595959595959596,1.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1298,251.0,3.6075388026607538,1.4721983548822195,35.34448222128155,6.1117647058823525,1.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1318,247.0,3.5675675675675675,1.4071322594086337,34.410107655032846,5.7942857142857145,1.508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1328,264.0,3.0926640926640925,1.5118765514100827,35.998190327298275,6.309523809523809,1.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1329,390.0,3.1020092735703244,1.161604776842336,36.74950858351351,4.672535211267606,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1344,280.0,3.3298097251585626,1.251512143136934,33.200267299775,5.069306930693069,1.553,"{""type"":""MultiPoint"",""coordinates"":[]}"
