system:index,B8,GVI,NLI,RDVI,SGI,estimatefCOVER,.geo
3_9307,1980.0,3.3421052631578947,0.9998306438695631,34.27388162927736,5.963855421686747,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9318,1598.0,4.239344262295082,0.9998472863369435,33.133516173692584,8.194871794871794,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9372,2432.0,2.34525447042641,0.9997886817613257,32.68213602332981,3.8912,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9383,1634.0,4.375,0.9998621795111867,34.007214661964106,8.880434782608695,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9387,1622.0,3.960244648318043,0.9998373302704803,32.859905971857295,7.579439252336448,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9407,1750.0,4.756578947368421,0.9998530720191986,34.31518097824373,7.777777777777778,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9434,1952.0,3.571428571428571,0.999850941639453,35.27444153211365,6.873239436619718,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9437,1836.0,3.5,0.9998362587254521,33.94514291136108,6.6521739130434785,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9450,1712.0,3.9054441260744985,0.9998294210482145,33.006378156056925,6.848,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9454,1786.0,3.675392670157068,0.9998438893495233,34.071531921375176,7.172690763052209,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9457,1804.0,3.5903307888040716,0.9998205676208127,33.026013341787234,6.178082191780822,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9482,1580.0,4.214521452145214,0.9998574048157117,33.437867942113485,8.876404494382022,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9496,2252.0,2.644012944983819,0.9997988964541502,33.1463959222684,4.415686274509804,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9499,1432.0,4.284132841328414,0.9998585896314992,32.40878130842432,9.875862068965517,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9522,1834.0,3.5283950617283955,0.9998353069251654,33.88788744088459,6.620938628158845,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9523,1856.0,3.4190476190476193,0.9998287388415372,33.657565363275616,6.291525423728814,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9581,1622.0,3.6342857142857143,0.9998069276487969,31.584185403309334,6.3858267716535435,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9613,1878.0,3.145695364238411,0.9998015442128307,32.37171893357753,5.365714285714286,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9615,1510.0,4.11864406779661,0.9998631732577394,33.17272632613671,9.679487179487179,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9633,1394.0,4.182156133828996,0.9998301945918521,31.126395061615327,8.44848484848485,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
