system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_1395,1.2035319732279657,0.6214543579164518,3.283378746594005,1.0392964862251293,27.03877557537295,1.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1396,1.2514713009762515,0.5701091519731318,2.65234375,1.1000898453377097,30.190589017334535,1.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1398,1.12118713932399,0.5079742110620971,2.0648275862068965,0.9406446596209349,30.77602288531234,1.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1409,1.2546989382048408,0.6141215106732348,3.182978723404255,1.1042642248367784,31.003172103801333,0.955,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1414,1.2229184882930146,0.5990279465370595,2.987878787878788,1.063710172571576,24.980595546266585,1.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1437,0.9431410511929845,0.5063145809414467,2.0511627906976746,0.7494722599059422,25.93059262448045,0.734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1442,1.1192464230268955,0.5245085190039318,2.2061742006615215,0.9383255513851265,35.16839292525518,1.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1480,1.4084963087682942,0.6418139892390469,3.5836909871244638,1.3224856068314812,24.451325088391407,1.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1483,0.7423166401371373,0.43155452436194897,1.5183673469387755,0.5608740305956649,24.661016949152543,0.681,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1493,0.9630423448994961,0.5147286821705427,2.121405750798722,0.7695791184375612,26.1945043063856,0.697,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1541,0.8616068613230752,0.4702329594477998,1.775244299674267,0.6699912286489175,22.71666974345627,0.715,"{""type"":""MultiPoint"",""coordinates"":[]}"
