system:index,EVI,GVI,MSR,RDVI,SGI,estimatefAPAR,.geo
1_8867,8.440366972477065,4.341935483870968,2.0,34.31617694324355,9.0,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8871,7.151041666666666,4.36551724137931,1.91594448514322,32.9246181038717,8.502732240437158,0.415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8891,9.059343434343434,4.538194444444445,2.157332735078772,34.2541614748862,9.96875,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8895,12.457886676875958,4.041322314049586,2.0024620439104894,36.084348089971215,9.014778325123153,0.426,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8901,5.904977375565611,4.565683646112601,1.8874468648947225,37.89021492544974,8.337349397590362,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8902,9.047619047619047,4.259136212624584,1.990568980120465,33.51421001198257,8.943502824858758,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8903,8.3004158004158,4.620253164556962,2.149886935986307,36.11865215159727,9.921787709497206,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8965,7.532051282051282,4.298295454545454,1.9115756434055988,36.02573686999863,8.477272727272727,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8986,8.107497741644083,4.2727272727272725,1.939098139283618,37.71641013960613,8.638297872340425,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8995,10.285118219749652,3.9851632047477743,1.891056719475403,34.10152306859748,8.35820895522388,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8998,8.201396973224679,4.17799352750809,1.8942984211696865,33.29378726189151,8.37696335078534,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9027,6.065711878685763,4.765124555160142,2.0,33.94112549695428,9.0,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9035,6.825192802056556,4.699680511182109,2.0561927517952223,35.84530052350312,9.340314136125654,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
