system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
5_9921,403.0,2382.0,0.1931931931931932,0.999857956723326,37.50016636707561,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9931,451.0,2373.0,0.14013346043851288,0.999839831805639,36.16771211223386,0.442,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9952,382.0,2348.0,0.21560574948665298,0.9998614306810609,37.627224965549324,0.446,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9964,418.0,2340.0,0.18597857838364168,0.9998473343221297,36.59790726986613,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9970,369.0,2180.0,0.21739130434782608,0.9998447220977918,35.870178064544234,0.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9975,473.0,2376.0,0.1657848324514991,0.9998324432693825,35.65271139921661,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10,418.0,2273.0,0.19769673704414586,0.9998382023272157,35.759139959912524,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11,660.0,3085.0,0.10386965376782077,0.9998613137267366,39.62651066053515,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16,419.0,2504.0,0.19500480307396734,0.9998663569592859,38.56485045645456,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_26,451.0,2464.0,0.16635859519408502,0.9998514430854909,37.28417135946921,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_30,488.0,2435.0,0.18257956448911222,0.9998354051874011,36.01235675717843,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_42,350.0,2323.0,0.22308546059933407,0.9998702905990888,38.16169057784354,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_65,604.0,2835.0,0.10052122114668652,0.9998497106619213,38.04376430279025,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_78,450.0,2645.0,0.13793103448275862,0.9998713637939105,39.45519534127815,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_82,516.0,2549.0,0.14781172584640792,0.9998411798734886,36.72164596281868,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_89,343.0,2374.0,0.23180291153415453,0.9998782871992731,38.9641408145335,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_110,513.0,2552.0,0.17656500802568217,0.99984247415678,36.83002268479453,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_122,473.0,2524.0,0.14389140271493212,0.9998515158178818,37.46470255147642,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
