system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefCOVER,.geo
1_3402,1828.0,0.46702074775646896,1.1074433656957927,0.2808811959087333,20.027439870279753,0.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3422,1654.0,0.46434362151832764,1.167527675276753,0.27945981267697667,18.935335742060694,0.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3428,1780.0,0.4473005968529571,1.111035422343324,0.27034228325476534,18.883364944125702,0.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3479,1791.0,0.4217623935357065,1.1197478991596639,0.25653798256537985,17.80676687247883,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3484,1791.0,0.4876823852823007,1.1173039533376539,0.2918149466192171,20.753767397992213,0.153,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3493,1835.0,0.45731308105276935,1.1561040693795865,0.2757055456877837,19.625510116321408,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3500,2025.0,0.4148498062015504,1.0525997581620312,0.25276752767527677,18.608909503652523,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3542,1819.0,0.49937901055682055,1.1851851851851851,0.29795445773832496,21.44858230158753,0.162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3550,1883.0,0.48545216581510664,1.206052801030264,0.2906385383311358,21.1767623740019,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3557,1884.0,0.4404238356093923,0.9987714987714988,0.26664071623199687,19.112764876852218,0.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3597,1962.0,0.4422759012065435,1.2283464566929134,0.26763717805151177,19.590602678985345,0.113,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3614,1887.0,0.41005497798275103,0.9724137931034482,0.25014901649115834,17.746481672781464,0.112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3616,1989.0,0.4203256832214105,1.0290205562273278,0.2557530402245089,18.697978660456954,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3647,1739.0,0.4810449840220687,1.1561643835616437,0.2883159402496419,20.155325842361005,0.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3655,1942.0,0.462745872306819,1.0318772136953953,0.2786032689450223,20.442722505026904,0.153,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3702,1793.0,0.456483268983269,1.1217215870880968,0.2752627324171382,19.36253706393205,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3709,1756.0,0.46874574795221385,1.1132838840188808,0.281799591002045,19.705832547771685,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3716,1911.0,0.49293338604467285,1.1850467289719626,0.29457364341085274,21.682701281983313,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3722,1870.0,0.4704455508745053,1.2219269102990031,0.28270042194092826,20.413241338428552,0.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3725,2195.0,0.38746745160194723,1.044750430292599,0.23771488105573885,18.039724836186014,0.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3737,1550.0,0.4745619428220105,0.9978479196556671,0.2848904267589389,18.757389931631998,0.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3748,2014.0,0.4052681804835079,1.040953545232274,0.24752475247524752,18.109950221624107,0.097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3762,1963.0,0.40357026205371727,0.9425837320574162,0.24659374400307044,17.800925847942445,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3764,1637.0,0.4934542518527063,1.2416107382550337,0.29485246607796683,20.091118088865453,0.149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3779,1975.0,0.46632751937984496,1.143292682926829,0.28051001821493626,20.784259141258843,0.127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3816,1940.0,0.454291739022575,1.1122828784119108,0.27408793264733394,20.038433604659428,0.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3835,2164.0,0.3967255847986647,0.9722376457523598,0.24282715185444367,18.358760491219655,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3837,1606.0,0.509809923619614,1.2308834446919081,0.30340490132292347,20.60251093800874,0.163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3839,2069.0,0.47375757436121935,1.22262118491921,0.2844544354141449,21.63163300022142,0.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3840,1588.0,0.4163322632423756,1.1718241042345277,0.2535840188014101,16.54137709765186,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3850,1782.0,0.44661010057198625,1.052980132450331,0.2699713232281852,18.863250091507247,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3854,1937.0,0.48119360533542566,1.1973684210526314,0.28839088905216753,21.278479640517155,0.157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3867,1665.0,0.5077410274454609,1.258720930232558,0.3023255813953488,20.886737752781986,0.141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3870,2014.0,0.405011868927881,1.0478527607361965,0.24738415545590434,18.097972865037047,0.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3872,1437.0,0.5430255654514,1.2615384615384615,0.32056737588652484,20.849205301452802,0.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3880,1824.0,0.4145596858357093,1.0271883289124668,0.2526121696373694,17.648535496263605,0.099,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3889,1502.0,0.5164807853614589,1.231678486997636,0.3068758652514998,20.202596387209606,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3900,1821.0,0.4644726115654667,1.122047244094488,0.2795252225519288,19.8738305181934,0.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3930,1922.0,0.4240356761701479,1.1541005291005293,0.2577717706120873,18.55061491614595,0.111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3948,1976.0,0.3642535662521932,0.9153374233128835,0.22479403687720675,16.05035720042638,0.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3961,1965.0,0.41578290704928256,0.9784043191361729,0.2532775983279498,18.374412604792493,0.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4031,1795.0,0.47155390136913466,1.1556002682763244,0.2832900778598523,20.049653874397194,0.154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4037,1885.0,0.456516194848253,1.107369758576874,0.275278738946559,19.854449228610513,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4042,2058.0,0.43884451356000087,1.176687116564417,0.2657866571530503,19.900304499128776,0.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4049,2178.0,0.3565557639323007,0.9146546883773161,0.2204724409448819,16.48096014327122,0.096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4056,1623.0,0.44556445609124207,1.0449601160261057,0.26941255908170153,17.957918398878995,0.127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4058,2058.0,0.4540298437646178,1.1141686182669788,0.27394602222614217,20.62615263487592,0.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4072,1526.0,0.5032782343706714,1.153495440729483,0.3,19.809088823063014,0.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
