system:index,EVI2,NDGI,NDVI,RDVI,SGI,estimateLAI,.geo
0_1069,0.9897360703812318,0.04755865567533291,0.5270780856423174,29.704018505334243,3.229027962716378,0.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1092,0.6001544952165904,-6.653359946773121E-4,0.3494809688581315,16.8041846823156,2.074468085106383,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1119,0.8458177278401997,0.042008196721311473,0.46510297482837526,27.500135219139164,2.7390374331550804,0.822,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1127,1.0274244045495977,0.07021276595744681,0.5426478283621141,33.547750983084164,3.3729977116704806,1.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1130,0.45697785313129174,-0.005543237250554324,0.2755591054313099,13.788973230360694,1.760749724366042,0.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1132,0.9804733727810651,0.061528899937849595,0.5232080833596463,29.444113064022392,3.194701986754967,0.956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1138,0.5325260738907549,-0.004154682007031001,0.3151700087183958,21.34797022217336,1.9204328453214512,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1140,0.8485689307841424,0.028517110266159697,0.46631853785900784,28.859052455272817,2.747553816046967,0.886,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1157,0.994759098474965,0.04374240583232078,0.5291654202811845,30.595647214553505,3.247776365946633,1.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1167,0.4549554967524657,-0.007049345417925478,0.2744422274623617,20.377219882765,1.7565,0.508,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1204,0.911205398221041,0.0494148244473342,0.4937673130193906,26.53511236768465,2.950752393980848,0.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1208,0.9043492891393962,0.052072263549415514,0.4908675799086758,20.546194750402353,2.928251121076233,0.952,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1213,0.9598161478927981,0.03640449438202247,0.5144927536231884,34.18958227635845,3.1194029850746268,1.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1230,0.7493527185819558,0.03781268179173938,0.4212736179146256,22.521399511780107,2.4558645707376057,0.7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1231,1.0831409886516639,0.076,0.5652446675031367,31.915057431260443,3.6002886002886,1.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1234,1.0413119359782055,0.030667468430547205,0.5483328663491174,32.7580130570403,3.4280397022332507,1.066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1249,0.8156680638060488,0.029542097488921712,0.4515859766277129,31.26071101914303,2.6468797564687976,0.906,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1263,0.8628687189973117,-0.005437469105289174,0.472647135079077,29.35363226670862,2.792527040314651,0.967,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1272,0.9654429860541427,0.06133333333333333,0.5168816909140818,31.19756759734989,3.139772727272727,0.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1316,0.9595616579169575,0.038011695906432746,0.5143911439114391,32.79621749407726,3.1185410334346506,0.967,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1338,0.9948947566640165,0.048903878583473864,0.5292153589315526,31.726449733429252,3.24822695035461,0.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1347,1.1168727562824092,0.07147375079063883,0.5786452353616532,34.154777037613535,3.7465940054495914,1.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1380,1.0555050045495904,0.09238249594813615,0.554140127388535,27.773423579473253,3.4857142857142858,0.931,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1415,1.1212817975435123,0.0943089430894309,0.5804143126177025,29.906829583623196,3.7666068222621183,1.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1418,0.7184524320150985,0.002552322613578356,0.4068002428658166,23.34764068252281,2.3715455475946774,0.762,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1422,0.6962346279000973,-0.008538422903063787,0.3962717979555021,22.853582426073856,2.312749003984064,0.582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1458,0.9879279011979379,0.033753148614609575,0.5263027908125463,33.48956923015786,3.222106360792492,1.093,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1524,0.47390554237653654,0.0013556258472661546,0.28455810942052445,15.81539054783792,1.795475113122172,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
