system:index,B2,B8,GVI,RDVI,SGI,estimatefAPAR,.geo
0_4285,300.0,1929.0,3.528169014084507,31.02598201042164,4.5495283018867925,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4290,234.0,1357.0,3.4201954397394134,25.16324821325921,4.1753846153846155,0.193,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4303,325.0,1871.0,3.0851528384279474,31.961698628381278,5.1828254847645425,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4304,346.0,1981.0,3.1014492753623184,30.944933538534418,4.363436123348017,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4316,501.0,2026.0,2.0790273556231003,27.16120850853615,3.2312599681020733,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4318,273.0,1694.0,3.3886010362694297,29.815774378067747,4.881844380403458,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4349,239.0,1748.0,3.86908077994429,31.81742585629359,5.712418300653595,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4363,251.0,1560.0,3.4444444444444446,27.26645300473568,4.285714285714286,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4406,239.0,1274.0,2.9079754601226995,23.152328242107814,3.7142857142857144,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4425,260.0,1739.0,3.6873315363881405,29.551255068262957,4.588390501319261,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4470,364.0,1853.0,2.7971311475409837,27.8394014260761,3.691235059760956,0.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4504,405.0,2026.0,2.738007380073801,30.830710263871648,4.203319502074689,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4519,567.0,2287.0,2.078061911170929,29.19982072207537,3.3001443001443,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4527,359.0,1876.0,3.2062780269058297,27.96504224195451,3.6784313725490194,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4619,257.0,1291.0,2.088516746411483,23.804515536988117,3.88855421686747,0.268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4622,283.0,1757.0,3.7486486486486488,27.57336783416947,3.8278867102396514,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4623,331.0,1996.0,3.696470588235294,30.256977742223327,4.090163934426229,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4663,489.0,2024.0,2.1282843894899535,27.378515526912746,3.280388978930308,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4664,846.0,2570.0,1.4041159962581853,26.337658848487045,2.5777331995987964,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4672,383.0,1524.0,2.334792122538293,23.29309081681731,3.1683991683991684,0.182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4692,358.0,1842.0,2.4820415879017013,30.67795583212155,4.698979591836735,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4727,233.0,1322.0,3.0676923076923073,26.801465557840892,5.143968871595331,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4751,328.0,1755.0,2.559837728194726,30.6522566298454,5.02865329512894,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4756,269.0,1787.0,4.0056022408963585,28.847945700155734,4.165501165501166,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
