system:index,B4,EVI2,NDGI,NDVI,RDVI,estimatefAPAR,.geo
1_8099,1748.0,0.5296862984275146,-0.19236016371077763,0.31370239497447977,22.389650001043307,0.198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8107,1924.0,0.4189144485724464,-0.18181818181818182,0.25498547918683445,18.325279700159037,0.161,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8162,1222.0,0.8212415977249226,-0.10139702568724651,0.45409872682599955,30.38392192652649,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8178,1683.0,0.5930802857447489,-0.17282229965156795,0.3458997279440342,24.813333426615234,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8195,901.0,0.8189976741124326,-0.027366020524515394,0.4531107738998483,26.009505674512027,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8212,1498.0,0.7583217089248107,-0.08041831950955644,0.4253931722286153,30.716804130688285,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8237,1728.0,0.6593620007016489,-0.11447920025798129,0.3785290415392915,28.227710364820748,0.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8246,1181.0,0.6066862767281367,-0.03869832893579595,0.3526993696903261,21.30549433342136,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8376,1321.0,0.6446790233587736,-0.12569237324243715,0.3714013799666905,24.07815512301563,0.225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8396,1505.0,0.5988112927191679,-0.1721183800623053,0.3487667676330593,23.71101072127655,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8404,1478.0,0.6850155997226716,-0.14707023670935196,0.3908922316093138,27.23091190839683,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8433,766.0,0.6643839476947356,-0.03095558546433378,0.381010101010101,18.95501319578874,0.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8439,1274.0,0.6609107579462102,-0.16988062442607896,0.3792935444579781,24.301441288966213,0.235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8467,1882.0,0.44978087598349525,-0.20448,0.27167182662538697,19.530162431020468,0.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8480,1539.0,0.759782406299045,-0.145515444733904,0.426067499533843,31.201990904986037,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8491,1718.0,0.5977963585215286,-0.13436777814460218,0.3482549317147193,25.286281945517903,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8498,1741.0,0.522684158495204,-0.18677573278800272,0.310085199128195,22.029147433244553,0.216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8503,2004.0,0.43461920810804267,-0.19002375296912113,0.26350606394707826,19.43881929799519,0.173,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8526,1105.0,0.7805636896046853,-0.13741636644364386,0.43564862104187946,27.261998230090295,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8532,2052.0,0.4987495411160059,-0.1732418524871355,0.297621085059045,22.750012459725802,0.219,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8582,1379.0,0.6392248357299304,-0.1525282072712077,0.36873426413366905,24.37274911698188,0.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8591,1332.0,0.792394221779909,-0.09269893355209188,0.4410407049937054,30.447784186977696,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8594,988.0,0.7978400064840331,-0.0845225027442371,0.443537031822022,26.430490444176108,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8602,1363.0,0.726833149712327,-0.11858842839556832,0.41072200605274534,27.935135788111285,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8629,1820.0,0.47400811837108814,-0.17154811715481172,0.28459119496855345,20.299951978132004,0.154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8664,1241.0,0.8380064268162057,-0.10655372269282211,0.4616052060737527,31.341599808001913,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
