system:index,B8,EVI,GVI,RDVI,SGI,estimatefAPAR,.geo
0_1647,1448.0,9.060734463276836,4.2086330935251794,31.945484018293573,8.775757575757575,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1700,1547.0,5.87742504409171,4.122516556291391,31.765117886871398,7.228971962616822,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1708,1351.0,5.45998160073597,4.652719665271967,30.49610698522232,8.237804878048781,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1743,1474.0,7.064622124863089,4.208480565371024,31.680895370612795,8.01086956521739,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1750,1498.0,7.9769137302551645,4.112627986348123,32.00535642929742,8.097297297297297,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1754,1727.0,5.823575331772053,4.186186186186186,33.68366361753552,7.348936170212766,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1779,1496.0,8.095238095238095,4.3238434163701065,32.48673198556668,8.8,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1785,1476.0,7.584009269988412,4.406593406593407,32.2939274171153,8.838323353293413,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1809,1271.0,6.738868832731648,4.408510638297872,29.70080527589392,8.417218543046358,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1814,1634.0,7.038123167155426,4.357377049180328,33.68017942019914,8.422680412371134,0.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1840,1554.0,4.510067114093959,4.630434782608695,32.0,7.4,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1843,1492.0,10.646203554119547,4.023569023569023,32.290733602546666,8.574712643678161,0.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1854,1590.0,6.858141858141859,3.984326018808777,32.2991773373334,7.3271889400921655,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1861,1590.0,5.941530524505589,4.282392026578073,32.59216417698756,7.644230769230769,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1865,1437.0,9.690880989180835,3.871186440677966,31.155880486497068,7.852459016393443,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1872,1475.0,5.109223300970874,4.193661971830986,30.750048794906853,6.9575471698113205,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1884,1429.0,5.47640249332146,4.196363636363636,30.484418221441494,7.180904522613066,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1891,1831.0,5.318559556786704,3.768229166666667,33.312680965004894,6.206779661016949,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1922,1418.0,6.5363735070575455,3.74247491638796,29.8034410435979,6.626168224299065,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1933,1643.0,7.174129353233831,4.2492012779552715,33.58031780723207,8.17412935323383,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1941,1475.0,6.74217907227616,3.682539682539683,30.31695312954162,6.555555555555555,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1943,1597.0,8.819875776397515,4.305647840531561,33.71409735951163,9.022598870056497,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1970,1527.0,5.469522240527183,4.414893617021277,31.965218641219966,7.673366834170854,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2040,1466.0,7.798053527980535,4.090277777777778,31.56065828710091,7.967391304347826,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2047,1485.0,6.49009900990099,4.5,32.18692578799249,8.53448275862069,0.396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2073,1556.0,7.348734873487349,3.8173374613003093,31.70187705813347,7.072727272727272,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2090,1512.0,5.671776375112714,3.56797583081571,29.935415569568484,5.952755905511811,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2133,1560.0,10.156482861400896,3.859813084112149,32.51696286889992,7.918781725888325,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2134,1364.0,8.046448087431694,3.836879432624113,29.921229921244883,7.333333333333333,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2137,1560.0,6.312670920692799,4.672727272727273,33.250641908388545,8.914285714285715,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2155,1557.0,7.7482678983833715,3.8354037267080745,31.88017208956841,7.241860465116279,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2161,1338.0,6.934911242603549,4.247058823529412,30.220642515382647,8.060240963855422,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2162,1687.0,7.526595744680851,3.439473684210526,31.9697486539132,6.202205882352941,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2165,1476.0,7.01123595505618,3.6125,30.232898786158174,6.473684210526316,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2204,1506.0,7.536640360766629,4.436823104693141,32.66810942087602,8.911242603550296,0.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2224,1502.0,7.931873479318735,3.9407894736842106,31.62664550473782,7.585858585858586,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2245,1541.0,7.904929577464789,4.069078947368421,32.33834992823059,7.943298969072165,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2246,1533.0,7.9186046511627906,4.397887323943662,32.99455780989378,8.964912280701755,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2267,1536.0,6.013636363636364,4.086092715231788,31.63478880566031,7.211267605633803,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2268,1481.0,6.786458333333333,4.365942028985507,31.990514341536397,8.320224719101123,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2277,1425.0,5.578291814946619,4.654761904761905,31.389261129974283,8.333333333333334,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2280,1466.0,7.0462046204620465,4.180212014134276,31.52648795476531,7.924324324324324,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2302,1748.0,6.006600660066007,3.528497409326425,32.23638183365947,5.986301369863014,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2312,1667.0,7.763578274760383,4.097859327217125,33.66209233773758,7.976076555023924,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2326,1523.0,10.244648318042813,3.977124183006536,32.44257258335866,8.3224043715847,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2348,1862.0,4.926813040585495,3.11037527593819,31.270902951108067,4.8871391076115485,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2367,1490.0,9.969418960244647,3.901315789473684,31.852284362241253,8.010752688172044,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2372,1522.0,10.227963525835866,4.073333333333333,32.66451520522632,8.647727272727273,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2384,1409.0,5.063775510204081,3.961267605633803,29.526908961091035,6.463302752293578,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2420,1620.0,7.430257510729614,3.7368421052631575,32.15716961972062,6.8936170212765955,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2441,1517.0,5.454545454545454,4.639405204460966,32.28675862654373,8.2,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2442,1361.0,8.608630952380953,3.536666666666667,29.24665405072757,6.671568627450981,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2452,1480.0,9.027972027972028,3.9169435215946846,31.600799756282573,7.830687830687831,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
