system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
7_9278,2937.0,8.333333333333334,0.32098765432098764,50.35326328116503,18.157575757575756,0.646,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9295,2876.0,7.571022727272727,0.3486590038314176,50.43086709990292,17.74705882352941,0.638,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9315,2845.0,6.54726368159204,0.31158238172920066,49.55683108244255,14.37914691943128,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9323,2789.0,7.7294117647058815,0.3229571984435798,49.845196386419865,17.057471264367816,0.636,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9341,2789.0,9.270462633451958,0.30092592592592593,49.62893260585977,19.112582781456954,0.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9348,3059.0,6.904639175257732,0.34488734835355284,50.436923898898634,16.227513227513228,0.636,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9360,2532.0,7.897260273972602,0.3581395348837209,47.03022544346516,18.82608695652174,0.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9364,3199.0,6.6145124716553285,0.3086053412462908,52.14855982518321,14.412017167381974,0.649,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9371,2787.0,8.920415224913494,0.31363636363636366,49.43905352303794,18.986754966887418,0.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9376,2779.0,7.742424242424242,0.30177514792899407,48.937983121818085,16.29943502824859,0.623,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9377,2754.0,7.3236151603498545,0.35039370078740156,48.94956182284992,17.303030303030305,0.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9393,2932.0,5.725225225225225,0.31166912850812406,48.52278539079751,12.815450643776824,0.613,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9396,2912.0,6.548872180451128,0.26666666666666666,48.83458647580339,13.03896103896104,0.616,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9403,2820.0,6.421545667447306,0.25036603221083453,49.77487713857849,12.37890625,0.623,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9413,3032.0,6.689054726368159,0.34673366834170855,50.52016705600855,15.851282051282052,0.645,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9422,2686.0,6.742209631728045,0.34990439770554493,47.56911681918155,16.076470588235296,0.616,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9427,2580.0,8.70863309352518,0.2723112128146453,47.51192255807431,16.9748427672956,0.638,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9474,2617.0,6.59349593495935,0.3155080213903743,47.69958596258466,14.59375,0.618,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9478,2874.0,6.577720207253886,0.3356401384083045,48.95208908705047,15.234375,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9485,2989.0,7.159685863874346,0.29491525423728815,50.4484580269133,14.985576923076923,0.622,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9495,2806.0,7.7177914110429455,0.34710743801652894,49.00291147812886,17.9873417721519,0.638,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9499,2975.0,6.179611650485437,0.35081967213114756,49.1293009611144,14.93939393939394,0.633,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9542,3168.0,7.421052631578947,0.288135593220339,51.20283395749294,15.238095238095237,0.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9557,2759.0,7.711180124223603,0.26522593320235754,47.8617801591207,15.0,0.618,"{""type"":""MultiPoint"",""coordinates"":[]}"
