system:index,B4,B8,GVI,NDGI,RDVI,estimatefAPAR,.geo
0_3171,228.0,994.0,2.5,0.109375,21.912562442550865,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3183,739.0,2188.0,2.3609831029185866,-0.06330935251798561,26.78286450748896,0.225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3191,137.0,1128.0,4.246511627906977,0.2215909090909091,27.863033155074675,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3192,79.0,840.0,4.419354838709677,0.3247863247863248,25.103073696891304,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3224,150.0,912.0,3.3428571428571425,0.16666666666666666,23.38259529461741,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3240,771.0,2467.0,2.068407960199005,0.02095238095238095,29.804883300574083,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3248,704.0,2658.0,2.6410958904109587,0.01813110181311018,33.699674400939365,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3262,422.0,1978.0,3.4053452115812917,0.030998851894374284,31.76171699808854,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3268,632.0,2596.0,2.806451612903226,0.0380517503805175,34.568037181010254,0.366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3273,57.0,892.0,7.036036036036036,0.32142857142857145,27.105247004479914,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3274,851.0,2170.0,1.4547511312217196,0.019020172910662825,23.997689671432305,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3286,565.0,2335.0,2.7661290322580645,0.046413502109704644,32.86807485733818,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3291,73.0,836.0,4.687074829931973,0.33636363636363636,25.307112537674058,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3345,75.0,870.0,5.444444444444445,0.2857142857142857,25.861351933136127,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3348,93.0,1077.0,4.917582417582418,0.3236363636363636,28.767503033270554,0.367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3362,1091.0,2189.0,1.4134509371554573,-0.0920920920920921,19.171911618874923,0.233,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3365,712.0,2686.0,2.7566433566433566,0.002102312543798178,33.86378210817282,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3419,812.0,2551.0,2.3922872340425534,-0.03836317135549872,29.987216029265635,0.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3471,96.0,978.0,4.556818181818182,0.29411764705882354,26.913268518453282,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3480,460.0,2141.0,3.0244360902255636,0.07258064516129033,32.96078431372549,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3500,551.0,2166.0,3.071428571428571,-0.017543859649122806,30.983302518696018,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3514,738.0,2147.0,1.8102094240837698,0.017310252996005325,26.23240352694913,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3522,551.0,1946.0,2.200657894736842,0.04918032786885246,27.91675508108184,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3542,747.0,2452.0,2.468175388967468,-0.027510316368638238,30.14513709378763,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3559,693.0,1908.0,2.1589403973509933,-0.06861989205859677,23.823529411764707,0.248,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3598,704.0,2116.0,2.2806201550387595,-0.04373610081541883,26.589498273561244,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3611,685.0,1418.0,1.2834138486312399,-0.04900459418070444,15.98395831584595,0.188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3631,102.0,1020.0,4.543478260869565,0.2867132867132867,27.406037821817826,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3666,691.0,2208.0,2.5047619047619047,-0.04617713853141559,28.17484095149945,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3702,97.0,1133.0,7.035460992907801,0.18487394957983194,29.539776132932015,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3729,622.0,2417.0,3.0283333333333333,-0.01800327332242226,32.56110260868208,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
