system:index,EVI2,GI,MSR,RDVI,SGI,estimatefAPAR,.geo
9_3389,1.758555133079848,1.701818181818182,2.0120968232656917,42.18063271423611,9.072727272727272,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3423,1.904993514915694,2.1907216494845363,2.4499365002373743,42.274642819181956,11.902061855670103,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3435,1.7707279328611394,1.7361111111111112,2.043663727958279,43.77485762027373,9.26388888888889,0.568,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3452,1.9618486352357323,2.1104294478527605,2.66294661633369,41.75193204855596,13.417177914110429,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3510,1.6850019898800386,1.768545994065282,1.8347148549025778,42.967284304752745,8.035608308605342,0.547,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3570,1.923278390836709,1.9793814432989691,2.515063314236713,43.279356084217035,12.355670103092784,0.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3583,1.9772892321911928,2.0806451612903225,2.7258180887031407,45.541126684055364,13.881720430107526,0.579,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3598,1.7912609133646742,1.858942065491184,2.09830537901971,52.62906460374,9.599496221662468,0.664,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3602,1.9295501936252606,2.12,2.5377331097124265,46.98499694073154,12.515555555555556,0.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3655,1.8220451527224435,1.8766666666666667,2.185383284106744,47.45161222121272,10.146666666666667,0.564,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3685,2.0006161924663775,2.1872146118721463,2.8261298209016243,51.039326471999296,14.639269406392694,0.675,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3706,1.8304997889913788,1.8544061302681993,2.2103758985454784,44.713936946268056,10.306513409961687,0.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3709,1.7372360630097194,1.735202492211838,1.9581715325855222,44.4711343360767,8.750778816199377,0.581,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3749,1.785274752322934,1.8644688644688645,2.0825040959959003,43.347224392965686,9.501831501831502,0.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3760,1.782554603262372,1.7311475409836066,2.0750183259483235,45.66927134915634,9.455737704918032,0.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3767,1.9700194440065164,1.9873417721518987,2.695133074575064,50.88901843175877,13.654008438818565,0.642,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3785,1.9146264908976773,1.9239543726235742,2.4832570746226503,49.8207092372802,12.133079847908744,0.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3791,1.763518088605146,1.7430167597765363,2.024573472861493,48.39536060004138,9.14804469273743,0.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3850,1.6503868737309992,1.7005494505494505,1.7586029271879833,42.97799261707957,7.6098901098901095,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3894,2.031033652399013,2.120218579234973,2.9684548478950115,48.75146210213852,15.748633879781421,0.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3977,1.8724640859743393,2.026022304832714,2.3400799135643866,47.77567356625629,11.156133828996282,0.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4023,1.9090440538194444,1.8359375,2.4635377506243525,48.80361571156785,11.99609375,0.621,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4054,1.9389137913061607,1.9407114624505928,2.572512540188259,50.43343438482415,12.762845849802371,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4100,1.8680559553278453,1.821705426356589,2.3259608391975948,46.53555458589665,11.062015503875969,0.582,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4110,1.8526855013970818,2.1346938775510202,2.277629805645711,44.502303174493676,10.742857142857142,0.576,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4121,1.7798756250801384,1.8143939393939394,2.0680415231673104,42.360510825649484,9.412878787878787,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4160,1.7453121491129575,1.740506329113924,1.9782970242333053,44.53157933637351,8.870253164556962,0.557,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4168,2.073586248982913,2.1928934010152283,3.190271546632481,53.94868499501601,17.558375634517766,0.694,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4190,1.8817857721601037,1.8029739776951672,2.3705481446700967,48.332709701274446,11.360594795539033,0.602,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4236,1.688579336903544,1.779179810725552,1.8428891866277157,41.840369662786,8.082018927444794,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4242,1.8765079738715942,1.823293172690763,2.353353533357125,46.19891184388654,11.244979919678714,0.576,"{""type"":""MultiPoint"",""coordinates"":[]}"
